"","SAMPLE_ID","SumOfLength.cm.","SumOfProjArea.cm2.","SumOfSurfArea.cm2.","SumOfAvgDiam.mm.","SumOfRootVolume.cm3.","STEM","COTS_TOTAL","LEAF_TOTAL","Total.Of.PROJ_AREA_AG","LEAF","LEAVES_TOTAL","TRANSP_DATE","GERM_ID","COLOR","TLD","HD","H_num_og","HT","L_num","C_num","PWF","L.SFW","CWS","CWD","LWS","LWD","SWS","SWD","RWF","RWD","LWF_A","LWS_A","LWD_A","LWF_B","LWS_B","LWD_B","BWF_A","BWS_A","BWD_A","SWF_A","SWD_A","NOTES","AVG_SEED_WEIGHT","SPECIES","LOCATION_CODE","POP_CODE","SAMPLE_NUM","H_num","LETTER","POP_ID","GrowthForm","LWD_tmp","RWD_tmp","SLA","LW_Max_A","LW_Max_B","BW_Max","LW_Max_Sum","Grass_LW_Max","LDMC","SRL","RDMC","RTD","RMR","Above_weight_sum","Tot_weight_sum","Days"
"19","ACMI_UTNW_CCC_5_H4_R",708.0976,26.1568,82.174,0.3694,0.759,NA,0,14.1,14.1,NA,0,"22-Aug","F8","R","31-Aug","20-Nov",4,17.2,13,NA,NA,1.59,NA,NA,NA,0.2204,NA,NA,0.8398,0.0724,0.2809,0.1228,0.034,0.2169,0.2169,0.031,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","5","H4","R","ACMI_UTNW_CCC","FORB",0.2204,0.0724,21.6923076923077,0.2809,0.2169,NA,0.4978,1.59,0.130574527922861,9.78035359116022,0.0862110026196714,0.0953886693017128,0.202347680268306,0.2854,0.3578,"84"
"20","ACMI_UTNW_CCC_6_H3_B",9.9032,0.1818,0.5712,0.1836,0.003,NA,0,0,0.0759,NA,0.0759,"22-Aug","F9","B","5-Sep","3-Oct",3,1.2,5,NA,0.0055,0.0025,NA,NA,0.0022,2e-04,0,0,0.0026,0.0001915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","6","H3","B","ACMI_UTNW_CCC","FORB",2e-04,0.0001915,37.95,NA,NA,NA,NA,0.0025,0.0909090909090909,51.7138381201044,0.0736538461538462,0.0638333333333333,0.489144316730524,2e-04,0.0003915,"42"
"21","ACMI_UTNW_CCC_6_H3_R",17.2887,0.4125,1.2959,0.2386,0.008,NA,0.0229,0,0.142,NA,0.1191,"22-Aug","F10","R","29-Aug","3-Oct",3,1.4,4,2,0.0103,0.0046,0,0,0.0033,4e-04,8e-04,0,0.0057,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","6","H3","R","ACMI_UTNW_CCC","FORB",4e-04,6e-04,29.775,NA,NA,NA,NA,0.0046,0.121212121212121,28.8145,0.105263157894737,0.075,0.6,4e-04,0.001,"42"
"22","ACMI_UTNW_CCC_7_H4_R",1236.8167,42.5658,133.7243,0.3442,1.151,NA,0,21.1321,21.1321,NA,0,"22-Aug","","R","5-Sep","15-Nov",4,16.4,20,NA,NA,2.2946,NA,NA,NA,0.2409,NA,NA,1.2919,0.0741,0.5271,0.5272,0.0513,0.3144,0.3144,0.035,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","7","H4","R","ACMI_UTNW_CCC","FORB",0.2409,0.0741,24.4867902665122,0.5272,0.3144,NA,0.8416,2.2946,0.102542775665399,16.6911835357625,0.0573573806022138,0.0643788010425717,0.184649887864441,0.3272,0.4013,"84"
"23","ACMI_UTNW_CCC_9_H2_B",3.6862,0.0787,0.2472,0.2135,0.001,NA,0.0219,0,0.0429,NA,0.021,"30-Sep","I4","B","5-Oct","24-Oct",2,0.2,2,2,0.0021,0.0017,0.001,0,6e-04,6.91e-05,0,0,0.001,5.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","9","H2","B","ACMI_UTNW_CCC","FORB",6.91e-05,5.4e-05,30.3907380607815,NA,NA,NA,NA,0.0017,0.115166666666667,68.262962962963,0.054,0.054,0.438667749796913,6.91e-05,0.0001231,"24"
"24","ACMI_UTNW_VE_1_H2_G",9.0825,0.1802,0.566,0.1984,0.003,NA,0.0712,0,0.1943,NA,0.1231,"17-Jul","12B","G","31-Jul","10-Aug",2,1.6,3,2,0.0085,0.0067,0.0031,0.001,0.0035,0.0012,5e-04,0,7e-04,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enough plants",0.0001125,"ACMI","UTNW","VE","1","H2","G","ACMI_UTNW_VE","FORB",0.0012,1e-04,10.2583333333333,NA,NA,NA,NA,0.0067,0.342857142857143,90.825,0.142857142857143,0.0333333333333333,0.0434782608695652,0.0022,0.0023,"24"
"25","ACMI_UTNW_VE_1_H2_O",6.949,0.1273,0.4001,0.1833,0.002,NA,0,0,0.0998,NA,0.0998,"17-Jul","5A","O","31-Jul","10-Aug",2,1.4,3,2,0.0051,0.0028,0.0017,0.0027,NA,3e-04,NA,NA,NA,9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","1","H2","O","ACMI_UTNW_VE","FORB",3e-04,9e-05,33.2666666666667,NA,NA,NA,NA,0.0028,NA,77.2111111111111,NA,0.045,0.029126213592233,0.003,0.00309,"24"
"26","ACMI_UTNW_VE_10_H4_O",1076.1812,23.7832,74.7171,0.4549,0.43,NA,0,9.7547,9.7547,9.7547,0,"17-Jul","2B","O","1-Aug","9-Oct",4,18.6,11,NA,3.0206,1.9468,NA,NA,1.59,0.2192,NA,NA,0.6196,0.0491,0.451,0.451,0.0481,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","10","H4","O","ACMI_UTNW_VE","FORB",0.2192,0.0491,20.2800415800416,0.451,NA,NA,0.451,1.9468,0.106651884700665,21.918150712831,0.079244673983215,0.114186046511628,0.155183312262958,0.2673,0.3164,"84"
"27","ACMI_UTNW_VE_11_H1_G",0.8435,0.0185,0.0581,0.2194,0,NA,0.0215,0,0.0215,NA,0,"17-Jul","7D","G","","27-Jul",1,1.1,2,2,0.003,6e-04,NA,NA,5e-04,1e-04,8e-04,0,0,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","11","H1","G","ACMI_UTNW_VE","FORB",1e-04,5e-05,0,NA,NA,NA,NA,6e-04,0.2,16.87,NA,NA,0.333333333333333,1e-04,0.00015,"10"
"28","ACMI_UTNW_VE_13_H4_O",876.017,29.1912,91.707,0.3332,0.764,NA,0,13.0785,13.0785,13.0785,0,"20-Jul","D1","O","","12-Oct",4,16.1,10,NA,3.0544,1.5592,NA,NA,1.2566,0.1952,NA,NA,1.096,0.094,0.5193,0.5525,0.0612,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","13","H4","O","ACMI_UTNW_VE","FORB",0.1952,0.094,21.3700980392157,0.5525,NA,NA,0.5525,1.5592,0.110769230769231,9.31932978723404,0.0857664233576642,0.12303664921466,0.268264840182648,0.2564,0.3504,"84"
"29","ACMI_UTNW_VE_17_H1_G",6.7134,0.1189,0.3736,0.1772,0.002,NA,0.0881,0,0.1184,NA,0.0303,"25-Aug","E6","G","31-Aug","5-Sep",1,1.4,2,2,0.005,0.0031,0.0022,0.000173,1e-04,3.5e-05,9e-04,0,0.0013,0.000188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","17","H1","G","ACMI_UTNW_VE","FORB",3.5e-05,0.000188,86.5714285714286,NA,NA,NA,NA,0.0031,0.35,35.7095744680851,0.144615384615385,0.094,0.474747474747475,0.000208,0.000396,"10"
"30","ACMI_UTNW_VE_2_H3_G",29.8569,0.6017,1.8905,0.2015,0.01,NA,0.0379,0,0.2567,NA,0.2188,"17-Jul","10C","G","7-Aug","29-Aug",3,1.3,5,2,0.0164,0.0072,0,0,0.0042,0.00075,6e-04,NA,0.0083,2e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thinned on 8/28",0.0001125,"ACMI","UTNW","VE","2","H3","G","ACMI_UTNW_VE","FORB",0.00075,2e-04,29.1733333333333,NA,NA,NA,NA,0.0072,0.178571428571429,149.2845,0.0240963855421687,0.02,0.210526315789474,0.00075,0.00095,"42"
"31","ACMI_UTNW_VE_2_H3_O",25.9521,0.6111,1.9198,0.2355,0.011,NA,0.0487,0,0.2609,NA,0.2122,"17-Jul","6B","O","2-Aug","29-Aug",3,1,5,2,0.0182,0.0087,4e-04,0,0.0051,5e-04,6e-04,NA,0.0081,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","2","H3","O","ACMI_UTNW_VE","FORB",5e-04,7e-04,42.44,NA,NA,NA,NA,0.0087,0.0980392156862745,37.0744285714286,0.0864197530864198,0.0636363636363636,0.583333333333333,5e-04,0.0012,"42"
"32","ACMI_UTNW_VE_3_H3_G",57.4104,1.2477,3.9198,0.2173,0.021,NA,0,0,2.4585,NA,2.4585,"17-Jul","11D","G","1-Aug","29-Aug",3,4.2,7,2,0.0983,0.0741,0.0033,0,0.0602,0.0061,NA,NA,0.0167,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","3","H3","G","ACMI_UTNW_VE","FORB",0.0061,0.0021,40.3032786885246,NA,NA,NA,NA,0.0741,0.101328903654485,27.3382857142857,0.125748502994012,0.1,0.25609756097561,0.0061,0.0082,"42"
"33","ACMI_UTNW_VE_3_H3_O",110.5341,2.0277,6.3702,0.1834,0.029,NA,0,0,2.9087,NA,2.9087,"17-Jul","4D","O","31-Jul","29-Aug",3,4.3,7,2,0.1296,0.0763,0.0027,0,0.0518,0.0069,NA,NA,0.0342,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","3","H3","O","ACMI_UTNW_VE","FORB",0.0069,0.0025,42.1550724637681,NA,NA,NA,NA,0.0763,0.133204633204633,44.21364,0.0730994152046784,0.0862068965517241,0.265957446808511,0.0069,0.0094,"42"
"34","ACMI_UTNW_VE_5_H2_G",5.23,0.1,0.3142,0.1912,0.002,NA,0.0542,0,0.1003,NA,0.0461,"17-Jul","9B","G","31-Jul","10-Aug",2,1.4,2,2,0.0052,0.0029,0.001,5e-04,5e-04,9e-05,NA,NA,NA,0.000142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","5","H2","G","ACMI_UTNW_VE","FORB",9e-05,0.000142,51.2222222222222,NA,NA,NA,NA,0.0029,0.18,36.830985915493,NA,0.071,0.193989071038251,0.00059,0.000732,"24"
"35","ACMI_UTNW_VE_5_H2_O",8.214,0.1791,0.5626,0.218,0.003,NA,0.0551,0,0.1046,NA,0,"17-Jul","5B","O","31-Jul","10-Aug",2,1.4,3,2,0.0048,0.0033,6e-04,0,0.0017,5e-04,4e-04,4e-04,9e-04,1e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","5","H2","O","ACMI_UTNW_VE","FORB",5e-04,1e-04,0,NA,NA,NA,NA,0.0033,0.294117647058824,82.14,0.111111111111111,0.0333333333333333,0.1,9e-04,0.001,"24"
"36","ACMI_UTNW_VE_8_H1_G",0.8159,0.0199,0.0626,0.2442,0,NA,0.0231,0,0.0231,NA,0,"17-Jul","8A","G","24-Jul","27-Jul",1,2.2,NA,2,0.0024,0.0014,NA,8.4e-05,0,NA,0,0,0,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","8","H1","G","ACMI_UTNW_VE","FORB",NA,5e-05,NA,NA,NA,NA,NA,0.0014,NA,16.318,NA,NA,0.373134328358209,8.4e-05,0.000134,"10"
"37","ACMI_UTNW_VE_9_H4_G",664.9828,19.8004,62.2049,0.2978,0.463,NA,0,4.8358,4.8358,4.8358,0,"17-Jul","","G","1-Aug","9-Oct",4,15,11,NA,2.326,1.3776,NA,NA,1.6316,0.16,NA,NA,0.662,0.0501,0.1917,0.2121,0.0192,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0001125,"ACMI","UTNW","VE","9","H4","G","ACMI_UTNW_VE","FORB",0.16,0.0501,25.1864583333333,0.2121,NA,NA,0.2121,1.6316,0.0905233380480905,13.2731097804391,0.0756797583081571,0.108207343412527,0.218491059747056,0.1792,0.2293,"84"
"38","ARTR_UTSE_MO_1_H1_O",4.2297,0.1024,0.3218,0.2422,0.002,NA,0.055,0,0.055,NA,0,"7/25","A5","O","8/3","8/4",1,0.7,2,2,0.0047,0.0041,0.003,1e-04,0,NA,0.0023,8e-05,0.0013,0.000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0003375,"ARTR","UTSE","MO","1","H1","O","ARTR_UTSE_MO","FORB",NA,0.000108,NA,NA,NA,NA,NA,0.0041,NA,39.1638888888889,0.0830769230769231,0.054,0.375,0.00018,0.000288,"10"
"39","ARTR_UTSE_MO_11_H3_G",56.0875,1.4807,4.6517,0.264,0.031,NA,0.0807,0,1.825,NA,1.7443,"7/25","D7","G","8/4","9/5",3,3.6,5,2,0.102,0.0555,0.0018,NA,0.0463,0.006,0.0037,0,0.0329,0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0003375,"ARTR","UTSE","MO","11","H3","G","ARTR_UTSE_MO","FORB",0.006,0.0026,29.0716666666667,NA,NA,NA,NA,0.0555,0.129589632829374,21.5721153846154,0.0790273556231003,0.0838709677419355,0.302325581395349,0.006,0.0086,"42"
"40","ARTR_UTSE_MO_13_H1_G",1.2216,0.0326,0.1023,0.2666,0.001,NA,0.05,0,0.05,NA,0,"7/28","A6","G","8/7","8/7",1,0.7,1,2,0.0031,0.0016,0.0013,0.000144,3e-04,3.7e-05,5e-04,0,7e-04,7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0003375,"ARTR","UTSE","MO","13","H1","G","ARTR_UTSE_MO","FORB",3.7e-05,7e-05,0,NA,NA,NA,NA,0.0016,0.123333333333333,17.4514285714286,0.1,0.07,0.278884462151394,0.000181,0.000251,"10"
"41","ARTR_UTSE_MO_13_H1_O",1.0049,0.0321,0.1008,0.3193,0.001,NA,0.0415,0,0.0776,NA,0.0361,"7/28","A9","O","8/7","8/7",1,1.1,2,2,0.0064,0.0044,0.0018,8.4e-05,9e-04,0.000141,7e-04,8.1e-05,0.001,6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0003375,"ARTR","UTSE","MO","13","H1","O","ARTR_UTSE_MO","FORB",0.000141,6e-05,25.6028368794326,NA,NA,NA,NA,0.0044,0.156666666666667,16.7483333333333,0.06,0.06,0.163934426229508,0.000306,0.000366,"10"
"42","ARTR_UTSE_MO_15_H2_G",2.6128,0.0525,0.1649,0.2009,0.001,NA,0.0516,0,0.0516,NA,0,"7/28","B10","G","8/17","8/21",2,0.7,0,2,0.0036,0.002,0,0,NA,NA,NA,NA,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0003375,"ARTR","UTSE","MO","15","H2","G","ARTR_UTSE_MO","FORB",NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,0,0,"24"
